function_name,endpoint,method,status
export async function provisionCompleteProperty(,NONE,NONE,ORPHANED
export async function clonePropertyVersion(,NONE,NONE,ORPHANED
export async function applyPropertyTemplate(,NONE,NONE,ORPHANED
export async function provisionAndDeployCertificate(,NONE,NONE,ORPHANED
export async function automatedDNSValidation(,NONE,NONE,ORPHANED
export async function processCertificateRenewal(,NONE,NONE,ORPHANED
export async function importZoneFromCloudflare(,NONE,NONE,ORPHANED
export async function bulkDNSMigration(,NONE,NONE,ORPHANED
export async function migrateWebsite(,NONE,NONE,ORPHANED
export async function provisionSecureWebsite(,NONE,NONE,ORPHANED
export function getAllToolDefinitions(): ToolDefinition[] {,NONE,NONE,ORPHANED
export async function bulkCloneProperties(,,method:'GET',,FOUND
export async function bulkActivateProperties(,,method:'GET',,FOUND
export async function bulkUpdatePropertyRules(,,method:'GET',,FOUND
export async function bulkManageHostnames(,,method:'GET',,FOUND
export async function getBulkOperationStatus(,NONE,NONE,ORPHANED
export async function enrollCertificateWithValidation(,,method:'GET',,FOUND
export async function validateCertificateEnrollment(,,method:'GET',,FOUND
export async function deployCertificateToNetwork(,,method:'GET',,FOUND
export async function monitorCertificateEnrollment(,,method:'GET',,FOUND
export async function getCertificateDeploymentStatus(,,method:'GET',,FOUND
export async function renewCertificate(,,method:'POST',,FOUND
export async function cleanupValidationRecords(,,method:'GET',,FOUND
export async function getCertificateValidationHistory(,,method:'GET',,FOUND
export async function listCPCodes(,,method:'GET',,FOUND
export async function getCPCode(,,method:'GET',,FOUND
export async function createCPCode(,,method:'GET',,FOUND
export async function searchCPCodes(,,method:'GET',,FOUND
export async function createACMEValidationRecords(,NONE,NONE,ORPHANED
export async function monitorCertificateValidation(,,method:'GET',,FOUND
export async function createDVEnrollment(,,method:'POST',,FOUND
export async function getDVValidationChallenges(,,method:'GET',,FOUND
export async function checkDVEnrollmentStatus(,,method:'GET',,FOUND
export async function listCertificateEnrollments(,,method:'GET',,FOUND
export async function linkCertificateToProperty(,,method:'GET',,FOUND
export async function downloadCSR(,,method:'GET',,FOUND
export async function uploadThirdPartyCertificate(,,method:'PUT',,FOUND
export async function updateCertificateEnrollment(,,method:'GET',,FOUND
export async function deleteCertificateEnrollment(,,method:'GET',,FOUND
export async function monitorCertificateDeployment(,,method:'GET',,FOUND
export async function debugSecurePropertyOnboarding(,,method:'GET',,FOUND
export async function testBasicPropertyCreation(,,method:'GET',,FOUND
export async function getZonesDNSSECStatus(,,method:'GET',,FOUND
export async function getSecondaryZoneTransferStatus(,,method:'GET',,FOUND
export async function getZoneContract(,,method:'GET',,FOUND
export async function getRecordSet(,,method:'GET',,FOUND
export async function updateTSIGKeyForZones(,,method:'GET',,FOUND
export async function submitBulkZoneCreateRequest(,,method:'POST',,FOUND
export async function getZoneVersion(,,method:'GET',,FOUND
export async function getVersionRecordSets(,,method:'GET',,FOUND
export async function reactivateZoneVersion(,,method:'POST',,FOUND
export async function getVersionMasterZoneFile(,,method:'GET',,FOUND
export async function createMultipleRecordSets(,,method:'POST',,FOUND
export function isDNSSECKeysResponse(obj: unknown): obj is DNSSECKeysResponse {,,method:'PUT',,FOUND
export function isDNSSECDSRecordsResponse(obj: unknown): obj is DNSSECDSRecordsResponse {,,method:'PUT',,FOUND
export async function enableDNSSEC(,,method:'PUT',,FOUND
export async function disableDNSSEC(,,method:'PUT',,FOUND
export async function getDNSSECKeys(,,method:'GET',,FOUND
export async function getDNSSECDSRecords(,,method:'GET',,FOUND
export async function checkDNSSECValidation(,,method:'GET',,FOUND
export async function rotateDNSSECKeys(,,method:'POST',,FOUND
export async function importZoneViaAXFR(,,method:'PUT',,FOUND
